clip_id,npy_path,Boredom,Engagement,Confusion,Frustration
1100011002,landmarks/train/1100011002.npy,0,2,0,0
1100011003,landmarks/train/1100011003.npy,0,2,0,0
1100011004,landmarks/train/1100011004.npy,0,3,0,0
1100011005,landmarks/train/1100011005.npy,0,3,0,0
1100011006,landmarks/train/1100011006.npy,0,3,0,0
1100011007,landmarks/train/1100011007.npy,1,2,0,0
1100011008,landmarks/train/1100011008.npy,0,3,0,0
1100011009,landmarks/train/1100011009.npy,0,2,1,0
1100011010,landmarks/train/1100011010.npy,0,3,0,0
1100011011,landmarks/train/1100011011.npy,0,3,0,0
1100011012,landmarks/train/1100011012.npy,0,2,2,0
1100011013,landmarks/train/1100011013.npy,0,3,0,0
1100011014,landmarks/train/1100011014.npy,0,3,0,0
1100011015,landmarks/train/1100011015.npy,0,3,0,0
1100011016,landmarks/train/1100011016.npy,0,3,0,0
1100011017,landmarks/train/1100011017.npy,0,3,0,0
1100011018,landmarks/train/1100011018.npy,0,3,0,0
1100011019,landmarks/train/1100011019.npy,0,3,0,0
1100011020,landmarks/train/1100011020.npy,0,3,0,0
1100011021,landmarks/train/1100011021.npy,0,3,0,0
